CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO;VALOR_CORRIGIDO_2024
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.05.02.04;Contas a Pagar;1298226.0;N;2020;1654450.8113388754
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.05.02.04;Contas a Pagar;1346381.0;N;2021;1558985.3095082294
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.05.02.05;Contribuição de Parceiros;0.0;N;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.05.02.05;Contribuição de Parceiros;0.0;N;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.05.02.06;Dívidas com e sem direito de regresso;0.0;N;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.05.02.06;Dívidas com e sem direito de regresso;0.0;N;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.05.02.07;Adiantamento de Clientes;0.0;N;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.05.02.07;Adiantamento de Clientes;0.0;N;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.05.02.08;Contingências;0.0;N;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.05.02.08;Contingências;0.0;N;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.05.02.09;Instrumentos Financeiros Derivativos;6472.0;N;2020;8247.874908517624
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.05.02.09;Instrumentos Financeiros Derivativos;16058.0;N;2021;18593.68640829241
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.05.02.10;Receitas Diferidas;2616.0;N;2020;3333.813467348904
